"codloc","IN_TRI","PE_TRI","Residual_T","Residual_C","Residual_R","Residual_D","Residual_LV","Residual_LP","vivPos"
"1.7.48A",0,0,13,11,0,71,0,0,0
"1.7.48B",0,0,2,0,0,1,0,0,0
"1.7.48C",0,0,7,0,0,0,0,0,0
"1.7.48D",0,0,7,0,0,0,0,0,0
"1.7.49",0,0,94,5,5,4,2,1,0
"1.7.5",0,0,57,5,4,0,1,0,0
"1.7.6",2,1,201,11,1,10,0,2,3
"1.7.6A",0,0,60,4,0,3,0,0,0
"1.7.7",0,0,111,9,1,3,4,1,0
"1.7.7A",24,0,80,6,0,7,0,0,2
"1.7.8",0,0,252,16,7,20,3,3,0
"1.7.8A",13,27,538,19,5,2,1,9,10
"1.7.9",2,0,96,7,2,2,0,0,2
"1.8.10",16,5,152,5,3,8,0,1,6
"1.8.11",0,3,173,7,9,10,3,2,1
"1.8.12",12,44,991,78,74,20,2,10,9
"1.8.13",0,0,74,5,5,3,0,0,0
"1.8.14",1,0,219,40,23,2,0,4,1
"1.8.14A",0,0,2,4,0,0,0,0,0
"1.8.15",0,0,102,13,13,6,1,1,0
"1.8.16",0,5,548,17,36,5,1,6,2
"1.8.17",1,10,467,9,44,11,0,6,2
"1.8.18",0,0,250,9,40,5,1,1,0
"1.8.2",0,0,59,7,3,10,0,0,0
"1.8.20",0,0,15,4,1,1,0,0,0
"1.8.25",0,0,11,0,1,1,0,0,0
"1.8.29",0,0,10,25,17,4,0,2,0
"1.8.31",0,0,52,2,3,2,0,0,0
"1.8.36",0,0,9,8,0,0,0,0,0
"1.8.4",0,0,41,4,1,4,0,0,0
"1.8.40",0,0,5,8,6,0,0,0,0
"1.8.5",1,8,340,24,27,21,0,3,2
"1.8.6",0,0,124,17,10,21,0,4,0
"1.8.7",0,0,135,4,10,1,0,0,0
"1.8.8",0,0,170,9,10,8,0,0,0
"1.8.9",4,29,172,12,9,10,0,1,7
"1.9.1",0,0,90,4,8,38,2,6,0
"1.9.10",0,0,142,5,4,23,2,0,0
"1.9.11",0,0,126,1,0,2,1,0,0
"1.9.12",1,22,249,2,4,2,0,1,3
"1.9.13",0,0,97,8,4,8,0,0,0
"1.9.14",0,0,133,15,4,8,2,0,0
"1.9.16",12,1,675,60,45,36,3,29,2
"1.9.17",0,0,29,1,0,0,0,0,0
"1.9.17A",0,0,32,3,0,0,0,4,0
"1.9.19",0,10,149,4,1,0,0,2,1
"1.9.20",2,3,20,0,0,0,0,0,2
"1.9.21",0,0,253,6,3,3,1,2,0
"1.9.23",0,0,849,129,99,30,4,24,0
"1.9.24",0,0,131,12,0,19,3,1,0
"1.9.28A",0,0,78,28,6,13,0,6,0
"1.9.31",0,1,109,28,4,17,1,7,1
"1.9.4",0,0,84,5,2,15,0,3,0
"1.9.6",0,0,160,4,6,4,0,4,0
"1.9.8",0,0,51,13,1,5,0,2,0
