"codloc","IN_TRI","PE_TRI","Residual_T","Residual_C","Residual_R","Residual_D","Residual_LV","Residual_LP","vivPos"
"1.23.30",11,0,11,0,0,6,0,0,1
"1.23.4",17,33,66,5,1,12,1,2,8
"1.23.5",11,27,58,11,1,10,0,0,8
"1.23.8",0,0,5,0,0,0,0,0,0
"1.23.9",20,73,169,9,2,11,0,5,21
"1.24.1",85,243,753,89,26,73,27,17,47
"1.24.10",6,50,214,4,4,14,4,3,7
"1.24.11",13,30,116,1,0,0,0,1,6
"1.24.12",0,0,15,1,1,1,0,0,0
"1.24.13",0,0,48,3,2,5,0,2,0
"1.24.13A",12,10,16,0,0,12,2,0,3
"1.24.14",23,17,120,3,2,13,2,1,14
"1.24.2",86,79,166,7,3,21,3,1,40
"1.24.3",168,170,161,11,0,15,2,1,55
"1.24.3A",0,0,11,0,0,3,0,1,0
"1.24.4",142,109,123,1,1,15,6,1,42
"1.24.5",149,90,561,13,18,17,5,11,64
"1.24.6",75,221,119,1,1,1,2,3,45
"1.24.7",70,43,127,0,2,4,0,2,20
"1.24.8",257,400,150,9,2,14,0,0,85
"1.24.9",7,2,25,1,2,7,0,0,5
"1.25.1",210,564,833,48,47,15,0,7,117
"1.25.10",48,102,300,6,19,6,1,6,33
