UNICODE,I_TRIAT,P_TRIAT,FECHA,CICLO,TRATADA,RENUENTE,CERRADA,DESHABITADA,LOCAL_PUBLICO,LOTE_VACIO,,
1.5.3.1,0,0,0,1,0,0,0,1,0,0,,solo esta el poligono con nombre Yanayaco 
1.5.3.10,0,0,0,1,0,0,0,0,1,0,,solo esta el poligono con nombre 
1.5.3.20,0,0,0,1,0,0,0,1,0,0,,solo esta el poligono con nombre 
1.5.3.26A,0,0,0,1,0,0,0,1,0,0,,solo esta el poligono con nombre 
1.5.3.28,0,0,0,1,0,0,0,1,0,0,,solo esta el poligono con nombre 
1.5.3.34,0,0,0,1,0,0,0,1,0,0,,solo esta el poligono con nombre 
1.5.3.35,0,0,0,1,0,0,0,1,0,0,,solo esta el poligono con nombre 
1.5.3.4,0,0,0,1,0,0,0,0,1,0,,solo esta el poligono con nombre 
1.5.3.45,0,0,0,1,0,0,0,1,0,0,,solo esta el poligono con nombre 
1.5.3.46,0,0,0,1,0,0,0,1,0,0,,solo esta el poligono con nombre 
1.5.3.48,0,0,0,1,0,0,0,1,0,0,,solo esta el poligono con nombre 
1.5.3.5,0,0,0,1,0,0,1,0,0,0,,solo esta el poligono con nombre 
1.5.3.51,0,0,0,1,0,0,0,1,0,0,,solo esta el poligono con nombre 
1.5.3.56,0,0,0,1,0,0,0,1,0,0,,solo esta el poligono con nombre 
1.5.3.58,0,0,0,1,0,0,0,1,0,0,,solo esta el poligono con nombre 
1.5.3.6,0,0,0,1,0,0,0,1,0,0,,solo esta el poligono con nombre 
1.5.3.64,0,0,0,1,0,0,0,0,1,0,,solo esta el poligono con nombre 
1.5.3.68,0,0,0,1,0,0,0,1,0,0,,solo esta el poligono con nombre 
1.5.3.69,0,0,0,1,0,1,0,0,0,0,,solo esta el poligono con nombre 
1.5.3.71,0,0,0,1,0,0,0,1,0,0,,solo esta el poligono con nombre 
1.5.3.72,0,0,0,1,0,1,0,0,0,0,,solo esta el poligono con nombre 
1.5.3.8,0,0,0,1,0,0,0,1,0,0,,solo esta el poligono con nombre 
1.5.4.142,0,0,0,1,0,1,0,0,0,0,,
1.5.4.143,0,0,0,1,0,0,0,1,0,0,,
1.5.4.144,0,0,0,1,0,0,0,1,0,0,,
1.5.4.147,0,0,0,1,0,0,0,1,0,0,,
1.5.8.181,0,0,0,1,0,0,0,0,1,0,,"actualizacion por MINSA,NO TENEMOS EL CROQUIS NUEVO "
1.5.8.182,0,0,0,1,0,0,0,1,0,0,,"actualizacion por MINSA,NO TENEMOS EL CROQUIS NUEVO "
1.5.8.183,0,0,0,1,0,0,0,1,0,0,,"actualizacion por MINSA,NO TENEMOS EL CROQUIS NUEVO "
1.5.8.184,0,0,0,1,0,0,0,1,0,0,,"actualizacion por MINSA,NO TENEMOS EL CROQUIS NUEVO "
1.5.8.185,0,0,0,1,0,0,0,1,0,0,,"actualizacion por MINSA,NO TENEMOS EL CROQUIS NUEVO "
1.5.8.186,0,0,0,1,0,0,0,1,0,0,,"actualizacion por MINSA,NO TENEMOS EL CROQUIS NUEVO "
1.5.8.187,0,0,0,1,0,0,0,1,0,0,,"actualizacion por MINSA,NO TENEMOS EL CROQUIS NUEVO "
1.5.8.188,0,0,0,1,0,0,0,1,0,0,,"actualizacion por MINSA,NO TENEMOS EL CROQUIS NUEVO "
1.5.8.189,0,0,0,1,0,0,0,1,0,0,,"actualizacion por MINSA,NO TENEMOS EL CROQUIS NUEVO "
1.5.8.190,0,0,0,1,0,0,0,1,0,0,,"actualizacion por MINSA,NO TENEMOS EL CROQUIS NUEVO "
1.5.8.191,0,0,0,1,0,0,0,1,0,0,,"actualizacion por MINSA,NO TENEMOS EL CROQUIS NUEVO "
1.5.8.192,0,0,0,1,0,0,0,1,0,0,,"actualizacion por MINSA,NO TENEMOS EL CROQUIS NUEVO "
1.5.8.193,0,0,0,1,0,0,0,1,0,0,,"actualizacion por MINSA,NO TENEMOS EL CROQUIS NUEVO "
