UNICODE;P;D;L;V;LATITUDE;LONGITUDE
1.28.5.25;1;28;5;25;-16.54834674;-71.47339953
1.28.5.26;1;28;5;26;-16.5483076;-71.47346121
1.28.5.27;1;28;5;27;-16.54873512;-71.47372559
1.28.5.28;1;28;5;28;-16.54860571;-71.47420278
1.28.5.29;1;28;5;29;-16.54813986;-71.47371633
1.28.5.30;1;28;5;30;-16.54803408;-71.47389722
1.28.5.31;1;28;5;31;-16.54794302;-71.47401166
1.28.5.32;1;28;5;32;-16.54823056;-71.47429583
1.28.5.33;1;28;5;33;-16.54871337;-71.47460773
1.28.5.34;1;28;5;34;-16.54948177;-71.47505278
1.28.5.35;1;28;5;35;-16.55075619;-71.47551715
1.28.5.36;1;28;5;36;-16.55108206;-71.47556712
1.28.5.37;1;28;5;37;-16.55044715;-71.47606471
1.28.5.38;1;28;5;38;-16.54882929;-71.47486178
1.28.5.39;1;28;5;39;-16.54870659;-71.47480316
1.28.5.40;1;28;5;40;-16.54857119;-71.474725
1.28.5.41;1;28;5;41;-16.54808934;-71.47436087
1.28.5.42;1;28;5;42;-16.54780643;-71.47419932
1.28.5.43;1;28;5;43;-16.54773448;-71.47429829
1.28.5.44;1;28;5;44;-16.54764137;-71.47440425
1.28.5.45;1;28;5;45;-16.54753033;-71.47445474
1.28.5.46;1;28;5;46;-16.54744458;-71.47457398
1.28.5.47;1;28;5;47;-16.54739975;-71.47465779
1.28.5.48;1;28;5;48;-16.54732718;-71.47474335
1.28.5.49;1;28;5;49;-16.54728056;-71.47480663
1.28.5.50;1;28;5;50;-16.54720747;-71.47484263
1.28.5.51;1;28;5;51;-16.54712736;-71.47486667
1.28.5.52;1;28;5;52;-16.54707292;-71.47492074
1.28.5.53;1;28;5;53;-16.54724467;-71.47525227
1.28.5.54;1;28;5;54;-16.54712466;-71.47537616
1.28.5.55;1;28;5;55;-16.54699961;-71.47545
1.28.5.56;1;28;5;56;-16.54719199;-71.47588005
1.28.5.57;1;28;5;57;-16.54732239;-71.47596957
1.28.5.58;1;28;5;58;-16.54731767;-71.47653534
1.28.5.59;1;28;5;59;-16.54704156;-71.47622573
1.28.5.60;1;28;5;60;-16.54663941;-71.47568747
1.28.5.61;1;28;5;61;-16.54655264;-71.47543164
1.28.5.62;1;28;5;62;-16.54640099;-71.47558468
1.28.5.63;1;28;5;63;-16.54654558;-71.47642844
1.28.5.64;1;28;5;64;-16.54511904;-71.47654853
1.28.5.65;1;28;5;65;-16.54493744;-71.4766449
1.28.5.66;1;28;5;66;-16.54480189;-71.47675211
1.28.5.67;1;28;5;67;-16.54463151;-71.47684998
1.28.5.68;1;28;5;68;-16.5443534;-71.47704329
1.28.5.69;1;28;5;69;-16.54427997;-71.47704722
1.28.5.70;1;28;5;70;-16.54418132;-71.47707083
1.28.5.71;1;28;5;71;-16.54408051;-71.47715218
1.28.5.72;1;28;5;72;-16.54400473;-71.47720771
1.28.5.73;1;28;5;73;-16.54393557;-71.47724674
1.28.5.74;1;28;5;74;-16.54387157;-71.47727844
1.28.5.75;1;28;5;75;-16.54379514;-71.47735941
1.28.5.76;1;28;5;76;-16.54367574;-71.47739838
