"type,ident,lat,long,y_proj,x_proj,comment,display,symbol,unused1,dist,prox_index,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,facility,crossroad,unused2,ete,dtype,model,filename,ltime"
"WAYPOINT,1.3.99.145,-16.32295907394097,-71.53796969160568,8193651.36297788,228823.917723436, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.146,-16.32303462430124,-71.53802680244029,8193642.92274827,228817.916381426, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.147,-16.32310276783105,-71.53808082628756,8193635.30663677,228812.234848434, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.148,-16.32298129844041,-71.53820894560271,8193648.58384963,228798.370470432, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.149,-16.32291612026864,-71.53830464848275,8193655.67224207,228788.049265353, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.150,-16.32285094190163,-71.53838800266985,8193662.77710101,228779.048214624, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.151,-16.32276798767196,-71.53849914144553,8193671.81290923,228767.052268484, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.152,-16.32263466456266,-71.53844203156153,8193686.64916596,228772.973808103, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.153,-16.32256015618461,-71.5388011310308,8193694.41961066,228734.480720324, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.154,-16.32248368510993,-71.53895357717059,8193702.68261664,228718.077625056, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.155,-16.32243758807411,-71.53900058956292,8193707.72337958,228712.988059254, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.156,-16.32240522227457,-71.53904862369949,8193711.24259654,228707.808204645, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.157,-16.32234931766097,-71.53912936187837,8193717.32421834,228699.099568799, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.158,-16.32228262447609,-71.53923462795559,8193724.56755748,228687.753828584, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.159,-16.32221004453382,-71.53919579323241,8193732.6546206,228691.805400691, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.160,-16.32212667595423,-71.53915900269487,8193741.93336785,228695.623551679, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.161,-16.32206978851036,-71.53908746408864,8193748.32668647,228703.193072014, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.162,-16.32246193268634,-71.53939474780276,8193704.50300328,228670.883267207, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.163,-16.32256813940102,-71.5392703995594,8193692.91056036,228684.323550196, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.164,-16.32262541927084,-71.5391933036929,8193686.67183753,228692.644690794, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.165,-16.32269582575693,-71.5390963120099,8193679.00637479,228703.110943186, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.166,-16.32274117134791,-71.53896201654104,8193674.16509828,228717.530650054, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.167,-16.32283425300495,-71.53898066720569,8193663.83518867,228715.665189009, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
"WAYPOINT,1.3.99.168,-16.32289630824201,-71.53905403113809,8193656.86731225,228707.907689504, , , , , , , ,0, , , , , , , , , , , , , , , , , , , "
