"UNICODE","P","D","L","V","LATITUDE","LONGITUDE"
"1.10.2.2183A",1,10,"2","2183A",-16.3979988281201,-71.5063751208557
"1.10.2.2195A",1,10,"2","2195A",-16.3980815749923,-71.5058129599281
"1.10.2.2211B",1,10,"2","2211B",-16.3971773189381,-71.5068707210365
"1.10.2.2211A",1,10,"2","2211A",-16.3971773189381,-71.5068707210365
"1.10.2.225A",1,10,"2","225A",-16.4063298324464,-71.5114230915613
"1.10.2.2302A",1,10,"2","2302A",-16.398981137599,-71.5044257578314
"1.10.2.2310A",1,10,"2","2310A",-16.3987347181518,-71.5037555611688
"1.10.2.2314A",1,10,"2","2314A",-16.3989191837523,-71.5035595087222
"1.10.2.2321A",1,10,"2","2321A",-16.399257068204,-71.5042074961965
"1.10.2.2324A",1,10,"2","2324A",-16.3992191194643,-71.5044714326744
"1.10.2.2332A",1,10,"2","2332A",-16.3991996907942,-71.5035026693018
"1.10.2.2333A",1,10,"2","2333A",-16.399076009362,-71.503431653903
"1.10.2.2349A",1,10,"2","2349A",-16.399494660661,-71.5037865896446
"1.10.2.235A",1,10,"2","235A",-16.4067138939647,-71.5116954192805
"1.10.2.2352A",1,10,"2","2352A",-16.3996091312491,-71.5039122972698
"1.10.2.2363A",1,10,"2","2363A",-16.3997735356695,-71.504358644087
"1.10.2.2364A",1,10,"2","2364A",-16.3999157063115,-71.5042980200214
"1.10.2.2391C",1,10,"2","2391C",-16.4009668733213,-71.5035505208078
"1.10.2.2391A",1,10,"2","2391A",-16.4009668733213,-71.5035505208078
"1.10.2.2417B",1,10,"2","2417B",-16.402034180132,-71.5028527108046
"1.10.2.2435A",1,10,"2","2435A",-16.4026333006291,-71.5019958940329
"1.10.2.245A",1,10,"2","245A",-16.4060884334232,-71.5122876415893
"1.10.2.2453A",1,10,"2","2453A",-16.403371593851,-71.5018742355577
"1.10.2.2473A",1,10,"2","2473A",-16.4037473489699,-71.5017477423156
"1.10.2.2487A",1,10,"2","2487A",-16.4041095540072,-71.5002684871306
"1.10.2.2489A",1,10,"2","2489A",-16.4044628827429,-71.5000360158431
"1.10.2.2509A",1,10,"2","2509A",-16.4028612146563,-71.5010155402322
"1.10.2.254A",1,10,"2","254A",-16.4048639629463,-71.5129122208153
"1.10.2.2545A",1,10,"2","2545A",-16.4025657580578,-71.5011059486317
"1.10.2.2547A",1,10,"2","2547A",-16.402694155387,-71.5013729054995
"1.10.2.2551C",1,10,"2","2551C",-16.4015151759758,-71.5022560860098
"1.10.2.2551I",1,10,"2","2551I",-16.4015151759758,-71.5022560860098
"1.10.2.2551E",1,10,"2","2551E",-16.4015151759758,-71.5022560860098
"1.10.2.2551B",1,10,"2","2551B",-16.4015151759758,-71.5022560860098
"1.10.2.2551D",1,10,"2","2551D",-16.4015151759758,-71.5022560860098
"1.10.2.2551A",1,10,"2","2551A",-16.4015151759758,-71.5022560860098
"1.10.2.2551H",1,10,"2","2551H",-16.4015151759758,-71.5022560860098
"1.10.2.2551F",1,10,"2","2551F",-16.4015151759758,-71.5022560860098
"1.10.2.2552A",1,10,"2","2552A",-16.401435086297,-71.5023050022428
"1.10.2.2560A",1,10,"2","2560A",-16.4008526085923,-71.5026129481021
"1.10.2.2563A",1,10,"2","2563A",-16.4006276673337,-71.5022317957004
"1.10.2.2567A",1,10,"2","2567A",-16.4010126228811,-71.5019564204263
"1.10.2.2580A",1,10,"2","2580A",-16.4004002442408,-71.5030815780314
"1.10.2.2592A",1,10,"2","2592A",-16.4005686075774,-71.5026291818901
"1.10.2.26A",1,10,"2","26A",-16.4035762162993,-71.5160713567505
"1.10.2.260A",1,10,"2","260A",-16.4045216591517,-71.5135697299575
"1.10.2.266A",1,10,"2","266A",-16.4042609574674,-71.5131127423787
"1.10.2.266B",1,10,"2","266B",-16.4042609574674,-71.5131127423787
"1.10.2.267A",1,10,"2","267A",-16.4041863552072,-71.5130176233588
"1.10.2.278A",1,10,"2","278A",-16.4035870691648,-71.5129505118264
"1.10.2.281A",1,10,"2","281A",-16.403397866693,-71.5126527518644
"1.10.2.281B",1,10,"2","281B",-16.403397866693,-71.5126527518644
"1.10.2.281C",1,10,"2","281C",-16.403397866693,-71.5126527518644
"1.10.2.285A",1,10,"2","285A",-16.4037137577083,-71.5128543240996
"1.10.2.291A",1,10,"2","291A",-16.4038056299455,-71.5124301717494
"1.10.2.292A",1,10,"2","292A",-16.404056175492,-71.5122731011003
"1.10.2.292B",1,10,"2","292B",-16.404056175492,-71.5122731011003
"1.10.2.329A",1,10,"2","329A",-16.4057468211076,-71.5116322268408
"1.10.2.351A",1,10,"2","351A",-16.4056757950708,-71.5105610478216
"1.10.2.353A",1,10,"2","353A",-16.4056013770796,-71.5104464717111
"1.10.2.353C",1,10,"2","353C",-16.4056013770796,-71.5104464717111
"1.10.2.353B",1,10,"2","353B",-16.4056013770796,-71.5104464717111
"1.10.2.357A",1,10,"2","357A",-16.4057773863377,-71.5102590361361
"1.10.2.357B",1,10,"2","357B",-16.4057773863377,-71.5102590361361
