"","x"
"1011","1.10.2.1390B"
"1012","1.10.2.1390B"
"1013","1.10.2.1394A"
"1014","1.10.2.1394A"
"1015","1.10.2.1402A"
"1016","1.10.2.1402A"
"1017","1.10.2.1405A"
"1018","1.10.2.1405A"
"1019","1.10.2.1407A"
"1020","1.10.2.1407A"
"1021","1.10.2.1416A"
"1022","1.10.2.1416A"
"1023","1.10.2.1422A"
"1024","1.10.2.1422A"
"1025","1.10.2.1448A"
"1026","1.10.2.1448A"
"1027","1.10.2.1449A"
"1028","1.10.2.1449A"
"1029","1.10.2.1453A"
"1030","1.10.2.1453B"
"1031","1.10.2.1462A"
"1032","1.10.2.1462A"
"1033","1.10.2.1475A"
"1034","1.10.2.1483A"
"1035","1.10.2.1483A"
"1036","1.10.2.1483B"
"1037","1.10.2.1483B"
"1038","1.10.2.1492A"
"1039","1.10.2.149A"
"1040","1.10.2.149A"
"1041","1.10.2.149B"
"1042","1.10.2.1508A"
"1043","1.10.2.1508B"
"1044","1.10.2.1508B"
"1045","1.10.2.1516A"
"1046","1.10.2.1516A"
"1047","1.10.2.1516B"
"1048","1.10.2.1516C"
"1049","1.10.2.1519A"
"1050","1.10.2.1519A"
"1051","1.10.2.1520A"
"1052","1.10.2.1520A"
"1053","1.10.2.1528A"
"1054","1.10.2.1528A"
"1055","1.10.2.1530A"
"1056","1.10.2.1535A"
"1057","1.10.2.1535A"
"1058","1.10.2.1537A"
"1059","1.10.2.1537A"
"1060","1.10.2.1538A"
"1061","1.10.2.153A"
