"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO"
"1.28.3.186",1,28,"3","186",-16.5709327550377,-71.4546777777777,"26","",0,"05/19/09",1
"1.28.3.186",1,28,"3","186",-16.5709327550377,-71.4546777777777,"26","",0,"10/07/2009",2
"1.28.3.187",1,28,"3","187",-16.5704093173115,-71.4543288820298,"26","",0,"05/25/09",1
"1.28.3.188",1,28,"3","188",-16.5701221219812,-71.4546916666666,"27",NA,NA,NA,NA
"1.28.3.189",1,28,"3","189",-16.569994171424,-71.4550377031854,"28",NA,NA,NA,NA
"1.28.3.19",1,28,"3","19",-16.5712098996798,-71.4480661633417,"5","",0,"10/05/2009",2
"1.28.3.190",1,28,"3","190",-16.5699393372684,-71.4551558206377,"28","",0,"05/21/09",1
"1.28.3.190",1,28,"3","190",-16.5699393372684,-71.4551558206377,"28","",0,"10/07/2009",2
"1.28.3.191",1,28,"3","191",-16.5698373311232,-71.4554722222222,"28","",0,"10/05/2009",2
"1.28.3.191",1,28,"3","191",-16.5698373311232,-71.4554722222222,"28","",0,"05/21/09",1
"1.28.3.192",1,28,"3","192",-16.56977928059,-71.4556658257733,"28","",0,"10/13/09",2
"1.28.3.192",1,28,"3","192",-16.56977928059,-71.4556658257733,"28","",0,"05/21/09",1
"1.28.3.193",1,28,"3","193",-16.5699944444444,-71.455921737619,"28","",0,"05/21/09",1
"1.28.3.193",1,28,"3","193",-16.5699944444444,-71.455921737619,"28","",0,"10/05/2009",2
"1.28.3.194",1,28,"3","194",-16.5703448395745,-71.456128150832,"28","",0,"10/05/2009",2
"1.28.3.194",1,28,"3","194",-16.5703448395745,-71.456128150832,"28","",0,"05/20/09",1
"1.28.3.195",1,28,"3","195",-16.5703885004363,-71.4560335094026,"28",NA,NA,NA,NA
"1.28.3.196",1,28,"3","196",-16.5704833332519,-71.4557796306154,"28",NA,NA,NA,NA
"1.28.3.197",1,28,"3","197",-16.5705608801562,-71.4555496075298,"28",NA,NA,NA,NA
"1.28.3.198",1,28,"3","198",-16.5706170055653,-71.4554125985738,"28",NA,NA,NA,NA
"1.28.3.2",1,28,"3","2",-16.5681593711682,-71.4518396667278,"2",NA,NA,NA,NA
"1.28.3.20",1,28,"3","20",-16.571187549454,-71.4478735743186,"5",NA,NA,NA,NA
"1.28.3.21",1,28,"3","21",-16.5710282142459,-71.4476085142357,"5","",0,"10/05/2009",2
"1.28.3.22",1,28,"3","22",-16.5716638888888,-71.4487267289021,"6",NA,NA,NA,NA
"1.28.3.23",1,28,"3","23",-16.5721811925981,-71.4491541406519,"6",NA,NA,NA,NA
"1.28.3.24",1,28,"3","24",-16.5723941215207,-71.4495652082125,"6",NA,NA,NA,NA
"1.28.3.25",1,28,"3","25",-16.5723856961878,-71.4498083333333,"6",NA,NA,NA,NA
"1.28.3.26",1,28,"3","26",-16.5723580315005,-71.4500688390396,"6","",0,"10/05/2009",2
"1.28.3.26",1,28,"3","26",-16.5723580315005,-71.4500688390396,"6","",0,"05/22/09",1
"1.28.3.27",1,28,"3","27",-16.5722888345908,-71.4501927648864,"6","",0,"05/22/09",1
"1.28.3.28",1,28,"3","28",-16.5722041393285,-71.4502452420305,"6",NA,NA,NA,NA
"1.28.3.29",1,28,"3","29",-16.5722247708403,-71.450336547392,"6","",0,"05/22/09",1
"1.28.3.29",1,28,"3","29",-16.5722247708403,-71.450336547392,"6","",0,"10/05/2009",2
"1.28.3.3",1,28,"3","3",-16.568359608255,-71.4515699749772,"2",NA,NA,NA,NA
"1.28.3.30",1,28,"3","30",-16.5721508235627,-71.4504554745716,"6","",0,"05/22/09",1
"1.28.3.30",1,28,"3","30",-16.5721508235627,-71.4504554745716,"6","",0,"10/05/2009",2
"1.28.3.31",1,28,"3","31",-16.5720734257263,-71.450573511151,"6",NA,NA,NA,NA
"1.28.3.32",1,28,"3","32",-16.5716584750256,-71.4504148783294,"7",NA,NA,NA,NA
"1.28.3.33",1,28,"3","33",-16.5732180469318,-71.4491888844599,"8","",0,"05/21/09",1
"1.28.3.34",1,28,"3","34",-16.5733134171528,-71.4490700856493,"8","",0,"05/21/09",1
"1.28.3.35",1,28,"3","35",-16.5733747314414,-71.4489730521177,"8","",0,"10/05/2009",2
"1.28.3.35",1,28,"3","35",-16.5733747314414,-71.4489730521177,"8","",0,"05/20/09",1
"1.28.3.36",1,28,"3","36",-16.5734435413014,-71.4489051619434,"8",NA,NA,NA,NA
"1.28.3.37",1,28,"3","37",-16.5735083100158,-71.4488758859674,"8",NA,NA,NA,NA
"1.28.3.38",1,28,"3","38",-16.5735816082678,-71.4488184328805,"8",NA,NA,NA,NA
"1.28.3.39",1,28,"3","39",-16.573669613069,-71.4487396114377,"8",NA,NA,NA,NA
