"","UNICODE","P","D","L","V","CICLO_ROCIADO","STATUS","IN_TRI","PE_TRI"
"4746","1.1.34.67","1","1","34","67","2","T",NA,NA
"4747","1.1.34.670","1","1","34","670","1","T",NA,NA
"4748","1.1.34.670","1","1","34","670","2","T",NA,NA
"4749","1.1.34.670A","1","1","34","670A","1","T",NA,NA
"4750","1.1.34.670A","1","1","34","670A","2","T",NA,NA
"4751","1.1.34.671","1","1","34","671","1","T",NA,NA
"4752","1.1.34.671","1","1","34","671","2","R",NA,NA
"4753","1.1.34.672","1","1","34","672","1","T",NA,NA
"4754","1.1.34.672","1","1","34","672","2","T",NA,NA
"4755","1.1.34.673","1","1","34","673","1","T",NA,NA
"4756","1.1.34.673","1","1","34","673","2","T",NA,NA
"4757","1.1.34.674","1","1","34","674","1","R",NA,NA
"4758","1.1.34.674","1","1","34","674","2","T",NA,NA
"4759","1.1.34.675","1","1","34","675","1","R",NA,NA
"4760","1.1.34.675","1","1","34","675","2","T",NA,NA
"4761","1.1.34.676","1","1","34","676","1","C",NA,NA
"4762","1.1.34.676","1","1","34","676","2","T",NA,NA
"4763","1.1.34.677","1","1","34","677","1","T",NA,NA
"4764","1.1.34.677","1","1","34","677","2","R",NA,NA
"4765","1.1.34.678","1","1","34","678","1","T",NA,NA
"4766","1.1.34.678","1","1","34","678","2","T",NA,NA
"4767","1.1.34.678A","1","1","34","678A","2","T",NA,NA
"4768","1.1.34.679","1","1","34","679","1","T",NA,NA
"4769","1.1.34.679","1","1","34","679","2","R",NA,NA
"4770","1.1.34.68","1","1","34","68","1","T",NA,"1"
"4771","1.1.34.68","1","1","34","68","2","T",NA,NA
"4772","1.1.34.680","1","1","34","680","1","T",NA,NA
"4773","1.1.34.680","1","1","34","680","2","T",NA,NA
"4774","1.1.34.681","1","1","34","681","1","T",NA,NA
"4775","1.1.34.681","1","1","34","681","2","T",NA,NA
"4776","1.1.34.682","1","1","34","682","1","T",NA,NA
"4777","1.1.34.682","1","1","34","682","2","C",NA,NA
"4778","1.1.34.683","1","1","34","683","1","T",NA,NA
"4779","1.1.34.683","1","1","34","683","2","T",NA,NA
"4780","1.1.34.684","1","1","34","684","1","T",NA,NA
"4781","1.1.34.684","1","1","34","684","2","T",NA,NA
"4782","1.1.34.685","1","1","34","685","1","T",NA,NA
"4783","1.1.34.685","1","1","34","685","2","T",NA,NA
"4784","1.1.34.686","1","1","34","686","1","T",NA,NA
"4785","1.1.34.686","1","1","34","686","2","T",NA,NA
"4786","1.1.34.686A","1","1","34","686A","1","T",NA,NA
"4787","1.1.34.686A","1","1","34","686A","2","T",NA,NA
"4788","1.1.34.687","1","1","34","687","1","R",NA,NA
"4789","1.1.34.687","1","1","34","687","2","T","1",NA
"4790","1.1.34.688","1","1","34","688","1","T",NA,NA
"4791","1.1.34.688","1","1","34","688","2","T",NA,NA
"4792","1.1.34.689","1","1","34","689","1","T",NA,NA
"4793","1.1.34.689","1","1","34","689","2","T",NA,NA
"4794","1.1.34.69","1","1","34","69","1","T",NA,NA
"4795","1.1.34.69","1","1","34","69","2","T",NA,NA
"4796","1.1.34.690","1","1","34","690","1","T",NA,NA
"4797","1.1.34.690","1","1","34","690","2","T",NA,NA
"4798","1.1.34.691","1","1","34","691","1","R",NA,NA
"4799","1.1.34.691","1","1","34","691","2","C",NA,NA
"4800","1.1.34.692","1","1","34","692","1","T",NA,NA
"4801","1.1.34.692","1","1","34","692","2","T",NA,NA
"4802","1.1.34.693","1","1","34","693","1","T",NA,NA
"4803","1.1.34.693","1","1","34","693","2","C",NA,NA
"4804","1.1.34.694","1","1","34","694","1","T",NA,NA
"4805","1.1.34.694","1","1","34","694","2","C",NA,NA
"4806","1.1.34.695","1","1","34","695","1","T",NA,NA
