"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO","TRATADA","RENUENTE","CERRADA","DESHABITADA","LOCAL_PUBLICO","LOTE_VACIO"
"1.18.17.54",1,"18","17","54",-16.41837093,-71.59209368,"6","0","0","06/01/2006",2,0,0,1,0,0,0
"1.18.17.54",1,"18","17","54",-16.41837093,-71.59209368,"6","0","0","25/05/2005",1,1,0,0,0,0,0
"1.18.17.55",1,"18","17","55",-16.41837239,-71.59219228,"6","0","0","06/01/2006",2,0,0,1,0,0,0
"1.18.17.55",1,"18","17","55",-16.41837239,-71.59219228,"6","0","0","24/05/2005",1,1,0,0,0,0,0
"1.18.17.56",1,"18","17","56",-16.41832452,-71.59253286,"7","0","0","31/05/2005",1,0,0,0,0,0,0
"1.18.17.56",1,"18","17","56",-16.41832452,-71.59253286,"7","0","0","06/01/2006",2,0,0,0,0,0,0
"1.18.17.57",1,"18","17","57",-16.41787818,-71.59286423,"7","0","0","06/01/2006",2,0,0,0,0,0,0
"1.18.17.57",1,"18","17","57",-16.41787818,-71.59286423,"7","0","0","31/05/2005",1,0,0,0,0,0,0
"1.18.17.58",1,"18","17","58",-16.41776213,-71.59306376,"8","0","0","06/01/2006",2,0,0,1,0,0,0
"1.18.17.58",1,"18","17","58",-16.41776213,-71.59306376,"8","0","0","30/05/2005",1,1,0,0,0,0,0
"1.18.17.59",1,"18","17","59",-16.4176214,-71.59323095,"8","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.59",1,"18","17","59",-16.4176214,-71.59323095,"8","0","0","26/05/2005",1,1,0,0,0,0,0
"1.18.17.6",1,"18","17","6",-16.41795919,-71.59318496,"2","0","0","25/05/2005",1,1,0,0,0,0,0
"1.18.17.6",1,"18","17","6",-16.41795919,-71.59318496,"2","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.60",1,"18","17","60",-16.41755244,-71.59319035,"8","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.60",1,"18","17","60",-16.41755244,-71.59319035,"8","0","0","26/05/2005",1,1,0,0,0,0,0
"1.18.17.61",1,"18","17","61",-16.41751415,-71.59311755,"8","0","0","26/05/2005",1,1,0,0,0,0,0
"1.18.17.61",1,"18","17","61",-16.41751415,-71.59311755,"8","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.62",1,"18","17","62",-16.41743664,-71.5930742,"8","0","0","19/12/2005",2,1,0,0,0,0,0
"1.18.17.62",1,"18","17","62",-16.41743664,-71.5930742,"8","0","0","26/05/2005",1,1,0,0,0,0,0
"1.18.17.63",1,"18","17","63",-16.41736843,-71.59300927,"8","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.63",1,"18","17","63",-16.41736843,-71.59300927,"8","0","0","26/05/2005",1,1,0,0,0,0,0
"1.18.17.64",1,"18","17","64",-16.41749574,-71.5928256,"8","0","0","05/01/2006",2,1,0,0,0,0,0
"1.18.17.64",1,"18","17","64",-16.41749574,-71.5928256,"8","0","0","23/05/2005",1,1,0,0,0,0,0
"1.18.17.65",1,"18","17","65",-16.41759341,-71.59289477,"8","0","0","19/12/2005",2,1,0,0,0,0,0
"1.18.17.65",1,"18","17","65",-16.41759341,-71.59289477,"8","0","0","25/05/2005",1,1,0,0,0,0,0
"1.18.17.66",1,"18","17","66",-16.41764249,-71.59295041,"8","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.66",1,"18","17","66",-16.41764249,-71.59295041,"8","0","0","26/05/2005",1,1,0,0,0,0,0
"1.18.17.67",1,"18","17","67",-16.41770183,-71.59300038,"8","0","0","05/01/2006",2,1,0,0,0,0,0
"1.18.17.67",1,"18","17","67",-16.41770183,-71.59300038,"8","5","0","30/05/2005",1,1,0,0,0,0,0
"1.18.17.68",1,"18","17","68",-16.41748324,-71.59343894,"9","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.68",1,"18","17","68",-16.41748324,-71.59343894,"9","0","0","27/05/2005",1,1,0,0,0,0,0
"1.18.17.69",1,"18","17","69",-16.417416,-71.59335112,"9","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.69",1,"18","17","69",-16.417416,-71.59335112,"9","0","0","26/05/2005",1,1,0,0,0,0,0
"1.18.17.7",1,"18","17","7",-16.41799065,-71.59315742,"2","0","0","06/01/2006",2,1,0,0,0,0,0
"1.18.17.7",1,"18","17","7",-16.41799065,-71.59315742,"2","0","0","25/05/2005",1,1,0,0,0,0,0
"1.18.17.70",1,"18","17","70",-16.41735096,-71.59331181,"9","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.70",1,"18","17","70",-16.41735096,-71.59331181,"9","0","0","26/05/2005",1,1,0,0,0,0,0
"1.18.17.71",1,"18","17","71",-16.41729441,-71.59324982,"9","0","0","26/05/2005",1,1,0,0,0,0,0
"1.18.17.71",1,"18","17","71",-16.41729441,-71.59324982,"9","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.72",1,"18","17","72",-16.41721065,-71.59315184,"9","0","0","26/05/2005",1,1,0,0,0,0,0
"1.18.17.72",1,"18","17","72",-16.41721065,-71.59315184,"9","0","0","19/12/2005",2,1,0,0,0,0,0
"1.18.17.73",1,"18","17","73",-16.41716468,-71.593095,"9","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.73",1,"18","17","73",-16.41716468,-71.593095,"9","0","0","26/05/2005",1,1,0,0,0,0,0
"1.18.17.74",1,"18","17","74",-16.41711255,-71.59302949,"9","0","0","26/05/2005",1,1,0,0,0,0,0
"1.18.17.74",1,"18","17","74",-16.41711255,-71.59302949,"9","0","0","20/12/2005",2,1,0,0,0,0,0
"1.18.17.75",1,"18","17","75",-16.4169941,-71.59298083,"9","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.75",1,"18","17","75",-16.4169941,-71.59298083,"9","0","0","27/05/2005",1,1,0,0,0,0,0
"1.18.17.76",1,"18","17","76",-16.41688327,-71.59293459,"9","0","0","26/05/2005",1,1,0,0,0,0,0
"1.18.17.76",1,"18","17","76",-16.41688327,-71.59293459,"9","0","0","06/01/2006",2,0,0,1,0,0,0
"1.18.17.77",1,"18","17","77",-16.41686566,-71.59310551,"9","0","0","21/12/2005",2,1,0,0,0,0,0
"1.18.17.77",1,"18","17","77",-16.41686566,-71.59310551,"9","1","0","26/05/2005",1,1,0,0,0,0,0
"1.18.17.78",1,"18","17","78",-16.41687338,-71.59325008,"9","0","0","27/05/2005",1,1,0,0,0,0,0
