"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO","TRATADA","RENUENTE","CERRADA","DESHABITADA","LOCAL_PUBLICO","LOTE_VACIO"
"1.23.15.103",1,"23","15","103",-16.45395697,-71.61709448,"11","0","0","12/02/2006",2,1,0,0,0,0,0
"1.23.15.103",1,"23","15","103",-16.45395697,-71.61709448,"11","0","0","10/08/2005",1,1,0,0,0,0,0
"1.23.15.104",1,"23","15","104",-16.45386703,-71.61703166,"11","0","0","03/02/2006",2,1,0,0,0,0,0
"1.23.15.104",1,"23","15","104",-16.45386703,-71.61703166,"11","0","0","10/08/2005",1,1,0,0,0,0,0
"1.23.15.105",1,"23","15","105",-16.45375325,-71.61692203,"11","0","0","12/08/2005",1,0,0,1,0,0,0
"1.23.15.105",1,"23","15","105",-16.45375325,-71.61692203,"11","0","0","03/02/2006",2,1,0,0,0,0,0
"1.23.15.106",1,"23","15","106",-16.45369536,-71.61687223,"11","0","0","06/02/2006",2,1,0,0,0,0,0
"1.23.15.106",1,"23","15","106",-16.45369536,-71.61687223,"11","0","0","11/08/2005",1,1,0,0,0,0,0
"1.23.15.107",1,"23","15","107",-16.45357675,-71.61678132,"11","0","0","11/08/2005",1,1,0,0,0,0,0
"1.23.15.107",1,"23","15","107",-16.45357675,-71.61678132,"11","0","0","03/02/2006",2,1,0,0,0,0,0
"1.23.15.108",1,"23","15","108",-16.45350644,-71.61671106,"11","0","0","03/02/2006",2,1,0,0,0,0,0
"1.23.15.108",1,"23","15","108",-16.45350644,-71.61671106,"11","0","0","12/08/2005",1,1,0,0,0,0,0
"1.23.15.109",1,"23","15","109",-16.45340445,-71.61664459,"11","0","0","11/08/2005",1,1,0,0,0,0,0
"1.23.15.109",1,"23","15","109",-16.45340445,-71.61664459,"11","0","0","03/02/2006",2,1,0,0,0,0,0
"1.23.15.11",1,"23","15","11",-16.4532293,-71.61861007,"1","0","0","12/02/2006",2,1,0,0,0,0,0
"1.23.15.11",1,"23","15","11",-16.4532293,-71.61861007,"1","0","0","12/08/2005",1,0,0,0,1,0,0
"1.23.15.110",1,"23","15","110",-16.45352874,-71.61752829,"12","0","0","03/02/2006",2,1,0,0,0,0,0
"1.23.15.110",1,"23","15","110",-16.45352874,-71.61752829,"12","0","0","11/08/2005",1,1,0,0,0,0,0
"1.23.15.12",1,"23","15","12",-16.45312368,-71.618256,"2","0","0","12/08/2005",1,0,0,0,1,0,0
"1.23.15.12",1,"23","15","12",-16.45312368,-71.618256,"2","0","0","12/02/2006",2,0,0,0,1,0,0
"1.23.15.13",1,"23","15","13",-16.45329243,-71.61826403,"2","0","0","03/02/2006",2,1,0,0,0,0,0
"1.23.15.13",1,"23","15","13",-16.45329243,-71.61826403,"2","0","0","09/08/2005",1,1,0,0,0,0,0
"1.23.15.14",1,"23","15","14",-16.45335301,-71.61829849,"2","0","0","12/08/2005",1,0,0,0,1,0,0
"1.23.15.14",1,"23","15","14",-16.45335301,-71.61829849,"2","0","0","12/02/2006",2,0,0,0,1,0,0
"1.23.15.15",1,"23","15","15",-16.45344072,-71.61833177,"2","0","0","01/02/2006",2,1,0,0,0,0,0
"1.23.15.15",1,"23","15","15",-16.45344072,-71.61833177,"2","0","0","08/08/2005",1,1,0,0,0,0,0
"1.23.15.16",1,"23","15","16",-16.45353479,-71.61835624,"2","0","0","12/08/2005",1,0,0,1,0,0,0
"1.23.15.16",1,"23","15","16",-16.45353479,-71.61835624,"2","0","0","01/02/2006",2,1,0,0,0,0,0
"1.23.15.17",1,"23","15","17",-16.45359808,-71.61837811,"2","0","0","08/08/2005",1,1,0,0,0,0,0
"1.23.15.17",1,"23","15","17",-16.45359808,-71.61837811,"2","0","0","12/02/2006",2,0,0,1,0,0,0
"1.23.15.18",1,"23","15","18",-16.453677,-71.61841886,"2","0","0","08/08/2005",1,1,0,0,0,0,0
"1.23.15.18",1,"23","15","18",-16.453677,-71.61841886,"2","0","0","03/02/2006",2,1,0,0,0,0,0
"1.23.15.19",1,"23","15","19",-16.45379812,-71.61843996,"2","0","0","01/02/2006",2,1,0,0,0,0,0
"1.23.15.19",1,"23","15","19",-16.45379812,-71.61843996,"2","0","0","08/08/2005",1,1,0,0,0,0,0
"1.23.15.2",1,"23","15","2",-16.45021882,-71.61860195,"1","0","0","03/02/2006",2,1,0,0,0,0,0
"1.23.15.2",1,"23","15","2",-16.45021882,-71.61860195,"1","0","0","11/08/2005",1,1,0,0,0,0,0
"1.23.15.20",1,"23","15","20",-16.45387515,-71.6182329,"3","0","0","01/02/2006",2,1,0,0,0,0,0
"1.23.15.20",1,"23","15","20",-16.45387515,-71.6182329,"3","0","0","08/08/2005",1,1,0,0,0,0,0
"1.23.15.21",1,"23","15","21",-16.45365003,-71.61812565,"3","0","0","12/02/2006",2,1,0,0,0,0,0
"1.23.15.21",1,"23","15","21",-16.45365003,-71.61812565,"3","0","0","08/08/2005",1,1,0,0,0,0,0
"1.23.15.22",1,"23","15","22",-16.45355254,-71.61809078,"3","0","0","03/02/2006",2,1,0,0,0,0,0
"1.23.15.22",1,"23","15","22",-16.45355254,-71.61809078,"3","0","0","12/08/2005",1,0,0,1,0,0,0
"1.23.15.23",1,"23","15","23",-16.45347644,-71.61805512,"3","0","0","12/02/2006",2,0,0,1,0,0,0
"1.23.15.23",1,"23","15","23",-16.45347644,-71.61805512,"3","0","0","08/08/2005",1,1,0,0,0,0,0
"1.23.15.24",1,"23","15","24",-16.4535816,-71.61798878,"3","0","0","01/02/2006",2,1,0,0,0,0,0
"1.23.15.24",1,"23","15","24",-16.4535816,-71.61798878,"3","0","0","12/08/2005",1,1,0,0,0,0,0
"1.23.15.25",1,"23","15","25",-16.45369268,-71.61804919,"3","0","0","08/08/2005",1,1,0,0,0,0,0
"1.23.15.25",1,"23","15","25",-16.45369268,-71.61804919,"3","0","0","12/02/2006",2,1,0,0,0,0,0
"1.23.15.26",1,"23","15","26",-16.45378594,-71.61809941,"3","0","0","08/08/2005",1,1,0,0,0,0,0
