"UNICODE","P","D","L","V","LATITUDE","LONGITUDE","block","I_TRIAT","P_TRIAT","FECHA","CICLO","TRATADA","RENUENTE","CERRADA","DESHABITADA","LOCAL_PUBLICO","LOTE_VACIO"
"1.28.3.104",1,"28","3","104",-16.56963037,-71.45785108,"15","","0","10/13/09",2,1,0,0,0,0,0
"1.28.3.104",1,"28","3","104",-16.56963037,-71.45785108,"15","","0","05/19/09",2,1,0,0,0,0,0
"1.28.3.105",1,"28","3","105",-16.56967885,-71.45775174,"15","","0","05/25/09",2,1,0,0,0,0,0
"1.28.3.105",1,"28","3","105",-16.56967885,-71.45775174,"15","","0","10/12/2009",2,1,0,0,0,0,0
"1.28.3.106",1,"28","3","106",-16.56972446,-71.45769059,"15","","0","05/19/09",2,1,0,0,0,0,0
"1.28.3.106",1,"28","3","106",-16.56972446,-71.45769059,"15","","0","10/12/2009",2,1,0,0,0,0,0
"1.28.3.107",1,"28","3","107",-16.56977997,-71.45758607,"15","","0","05/25/09",2,1,0,0,0,0,0
"1.28.3.107",1,"28","3","107",-16.56977997,-71.45758607,"15","","0","10/12/2009",2,1,0,0,0,0,0
"1.28.3.108",1,"28","3","108",-16.56981736,-71.45743611,"15","","0","10/13/09",2,1,0,0,0,0,0
"1.28.3.108",1,"28","3","108",-16.56981736,-71.45743611,"15","","0","05/18/09",2,1,0,0,0,0,0
"1.28.3.109",1,"28","3","109",-16.56997583,-71.45711747,"15","","0","05/18/09",2,1,0,0,0,0,0
"1.28.3.109",1,"28","3","109",-16.56997583,-71.45711747,"15","","0","10/13/09",2,1,0,0,0,0,0
"1.28.3.11",1,"28","3","11",-16.57059715,-71.44618952,"3","","0","05/20/09",2,1,0,0,0,0,0
"1.28.3.11",1,"28","3","11",-16.57059715,-71.44618952,"3","","0","10/05/2009",2,1,0,0,0,0,0
"1.28.3.110",1,"28","3","110",-16.56927005,-71.45666412,"15","0","0","0",1,0,0,0,1,0,0
"1.28.3.110",1,"28","3","110",-16.56927005,-71.45666412,"15","0","0","0",2,0,0,0,1,0,0
"1.28.3.111",1,"28","3","111",-16.56942031,-71.45634722,"15","","0","05/18/09",2,1,0,0,0,0,0
"1.28.3.111",1,"28","3","111",-16.56942031,-71.45634722,"15","","0","10/13/09",2,1,0,0,0,0,0
"1.28.3.112",1,"28","3","112",-16.56956944,-71.45602491,"15","0","0","0",1,0,0,0,1,0,0
"1.28.3.112",1,"28","3","112",-16.56956944,-71.45602491,"15","0","0","0",2,0,0,0,1,0,0
"1.28.3.113",1,"28","3","113",-16.56985486,-71.45613859,"15","","0","10/07/2009",2,1,0,0,0,0,0
"1.28.3.113",1,"28","3","113",-16.56985486,-71.45613859,"15","0","0","0",1,0,0,0,1,0,0
"1.28.3.114",1,"28","3","114",-16.57025359,-71.45638478,"15","","0","05/22/09",2,1,0,0,0,0,0
"1.28.3.114",1,"28","3","114",-16.57025359,-71.45638478,"15","0","0","0",2,0,0,0,1,0,0
"1.28.3.115",1,"28","3","115",-16.57020746,-71.45650518,"15","","0","10/06/2009",2,1,0,0,0,0,0
"1.28.3.115",1,"28","3","115",-16.57020746,-71.45650518,"15","","0","05/22/09",2,1,0,0,0,0,0
"1.28.3.116",1,"28","3","116",-16.57016211,-71.45663747,"15","","0","10/13/09",2,1,0,0,0,0,0
"1.28.3.116",1,"28","3","116",-16.57016211,-71.45663747,"15","0","0","0",1,0,0,1,0,0,0
"1.28.3.117",1,"28","3","117",-16.57004364,-71.45692117,"15","","0","10/13/09",2,1,0,0,0,0,0
"1.28.3.117",1,"28","3","117",-16.57004364,-71.45692117,"15","0","0","0",1,0,0,0,1,0,0
"1.28.3.118",1,"28","3","118",-16.56942233,-71.4565708,"15","0","0","0",2,0,0,1,0,0,0
"1.28.3.118",1,"28","3","118",-16.56942233,-71.4565708,"15","","0","05/20/09",2,1,0,0,0,0,0
"1.28.3.119",1,"28","3","119",-16.56931804,-71.45605957,"16","","0","05/20/09",2,1,0,0,0,0,0
"1.28.3.119",1,"28","3","119",-16.56931804,-71.45605957,"16","","0","10/13/09",2,1,0,0,0,0,0
"1.28.3.12",1,"28","3","12",-16.56991002,-71.44604785,"3","0","0","0",1,0,0,0,1,0,0
"1.28.3.12",1,"28","3","12",-16.56991002,-71.44604785,"3","","0","10/13/09",2,1,0,0,0,0,0
"1.28.3.120",1,"28","3","120",-16.56938223,-71.45585753,"16","0","0","0",2,0,0,1,0,0,0
"1.28.3.120",1,"28","3","120",-16.56938223,-71.45585753,"16","","0","05/20/09",2,1,0,0,0,0,0
"1.28.3.121",1,"28","3","121",-16.56944966,-71.45567399,"17","0","0","0",1,0,0,0,1,0,0
"1.28.3.121",1,"28","3","121",-16.56944966,-71.45567399,"17","0","0","0",2,0,0,0,1,0,0
"1.28.3.122",1,"28","3","122",-16.5693507,-71.45547717,"17","0","0","0",2,0,0,0,1,0,0
"1.28.3.122",1,"28","3","122",-16.5693507,-71.45547717,"17","0","0","0",1,0,0,0,1,0,0
